Clube,País,Fundação,Matiz (0-360),Saturação (%),ID do desenho,Rótulo do desenho,Início,Fim (vazio = atual)
ARSENAL,Inglaterra,1886,0,0,arsenal-1930,3º escudo (1930),1930,1932
ARSENAL,Inglaterra,1886,0,0,arsenal-1932,4º escudo (1932),1932,1950
ARSENAL,Inglaterra,1886,0,0,arsenal-1950,5º escudo (1950),1950,2002
ARSENAL,Inglaterra,1886,0,0,arsenal-1930,3º escudo (1930),2002,
ASTON VILLA,Inglaterra,1874,0,0,villa-1878,1º escudo (1878),1878,1956
ASTON VILLA,Inglaterra,1874,0,0,villa-1956,2º escudo (1956),1956,1969
ASTON VILLA,Inglaterra,1874,0,0,villa-1878,1º escudo (1878),1969,1973
ASTON VILLA,Inglaterra,1874,0,0,villa-1973,3º escudo (1973),1973,1992
ASTON VILLA,Inglaterra,1874,0,0,villa-1992,4º escudo (1992),1992,2007
ASTON VILLA,Inglaterra,1874,0,0,villa-2007,5º escudo (2007),2007,2023
ASTON VILLA,Inglaterra,1874,0,0,villa-1973,3º escudo (1973),2023,2024
ASTON VILLA,Inglaterra,1874,0,0,villa-2007,5º escudo (2007),2024,
CHELSEA,Inglaterra,1905,0,0,chelsea-1905,1º escudo (1905),1905,1953
CHELSEA,Inglaterra,1905,0,0,chelsea-1953,2º escudo (1953),1953,1986
CHELSEA,Inglaterra,1905,0,0,chelsea-1986,3º escudo (1986),1986,2005
CHELSEA,Inglaterra,1905,0,0,chelsea-1953,2º escudo (1953),2005,
EVERTON,Inglaterra,1878,0,0,everton-1920,1º escudo (1920),1920,1938
EVERTON,Inglaterra,1878,0,0,everton-1938,2º escudo (1938),1938,
LIVERPOOL,Inglaterra,1892,0,0,liverpool-1892,1º escudo (1892),1892,1947
LIVERPOOL,Inglaterra,1892,0,0,liverpool-1947,2º escudo (1947),1947,1981
LIVERPOOL,Inglaterra,1892,0,0,liverpool-1981,3º escudo (1981),1981,1992
LIVERPOOL,Inglaterra,1892,0,0,liverpool-1992,4º escudo (1992),1992,
MAN CITY,Inglaterra,1880,0,0,city-1880,1º escudo (1880),1880,1887
MAN CITY,Inglaterra,1880,0,0,city-1887,2º escudo (1887),1887,1894
MAN CITY,Inglaterra,1880,0,0,city-1894,3º escudo (1894),1894,1970
MAN CITY,Inglaterra,1880,0,0,city-1970,4º escudo (1970),1970,1976
MAN CITY,Inglaterra,1880,0,0,city-1894,3º escudo (1894),1976,1995
MAN CITY,Inglaterra,1880,0,0,city-1970,4º escudo (1970),1995,1997
MAN CITY,Inglaterra,1880,0,0,city-1997,5º escudo (1997),1997,2016
MAN CITY,Inglaterra,1880,0,0,city-1970,4º escudo (1970),2016,
MANCHESTER UTD,Inglaterra,1878,0,0,man-1878,1º escudo (1878),1878,1902
MANCHESTER UTD,Inglaterra,1878,0,0,man-1902,2º escudo (1902),1902,1967
MANCHESTER UTD,Inglaterra,1878,0,0,man-1967,3º escudo (1967),1967,1969
MANCHESTER UTD,Inglaterra,1878,0,0,man-1969,4º escudo (1969),1969,
NEWCASTLE,Inglaterra,1907,0,0,new-1910,1º escudo (1910),1910,1969
NEWCASTLE,Inglaterra,1907,0,0,new-1969,2º escudo (1969),1969,1976
NEWCASTLE,Inglaterra,1907,0,0,new-1976,3º escudo (1976),1976,1983
NEWCASTLE,Inglaterra,1907,0,0,new-1983,4º escudo (1983),1983,1988
NEWCASTLE,Inglaterra,1907,0,0,new-1988,5º escudo (1988),1988,
N FOREST,Inglaterra,1908,0,0,forest-1946,1º escudo (1946),1946,1958
N FOREST,Inglaterra,1908,0,0,forest-1958,2º escudo (1958),1958,1974
N FOREST,Inglaterra,1908,0,0,forest-1974,3º escudo (1974),1974,
SUNDERLAND,Inglaterra,1880,0,0,sunderland-1913,1º escudo (1913),1913,1972
SUNDERLAND,Inglaterra,1880,0,0,sunderland-1972,2º escudo (1972),1972,1997
SUNDERLAND,Inglaterra,1880,0,0,sunderland-1997,3º escudo (1997),1997,
TOTTENHAM H,Inglaterra,1882,0,0,hotspurs-1921,1º escudo (1921),1921,1966
TOTTENHAM H,Inglaterra,1882,0,0,hotspurs-1966,2º escudo (1966),1966,1981
TOTTENHAM H,Inglaterra,1882,0,0,hotspurs-1981,3º escudo (1981),1981,1983
TOTTENHAM H,Inglaterra,1882,0,0,hotspurs-1983,4º escudo (1983),1983,1995
TOTTENHAM H,Inglaterra,1882,0,0,hotspurs-1921,1º escudo (1921),1995,1997
TOTTENHAM H,Inglaterra,1882,0,0,hotspurs-1981,3º escudo (1981),1997,2006
TOTTENHAM H,Inglaterra,1882,0,0,hotspurs-1966,2º escudo (1966),2006,
WEST HAM UTD,Inglaterra,1900,0,0,westham-1923,1º escudo (1923),1923,1964
WEST HAM UTD,Inglaterra,1900,0,0,westham-1964,2º escudo (1964),1964,1983
WEST HAM UTD,Inglaterra,1900,0,0,westham-1923,1º escudo (1923),1983,1985
WEST HAM UTD,Inglaterra,1900,0,0,westham-1964,2º escudo (1964),1985,2016
WEST HAM UTD,Inglaterra,1900,0,0,westham-1923,1º escudo (1923),2016,
